VEB_V,IB_uA
0.02,0
0.05,0
0.10,0
0.15,0.010
0.20,0.010
0.25,0.020
0.30,0.031
0.35,0.071
0.40,0.306
0.45,1.388
0.50,6.633
0.55,39.286
0.60,157.551
