frequency_hz,gain_db
10,13.97940009
20,13.97940009
30,12.04119983
50,11.68662449
80,10.98006524
120,10.83158488
150,10.83158488
175,11.02899996
200,8.69137808
230,7.71212547
300,5.84512143
400,5.24902179
500,3.63687176
600,2.92256071
700,2.21179421
800,1.93820026
900,1.13809703
1000,-1.61843815
1400,-2.10
1800,-2.49877473
