frequency_hz,magnitude_db,phase_deg
20,-23.3498,85
30,-19.4939,83
40,-17.2024,80
60,-13.8074,76
80,-11.5679,74
100,-9.7891,55
120,-8.4043,63
140,-7.2903,62
160,-6.2316,60
180,-5.8146,59
200,-5.0362,54
220,-4.5536,51
240,-4.0963,48
260,-3.6619,45
280,-3.3498,40
300,-3.0980,42
400,-2.1137,34
500,-1.5144,32
600,-1.1103,26
700,-0.9151,20
800,-0.7242,23
900,-0.5374,19
1000,-0.3546,14
1100,-0.3546,15
1200,-0.3546,17
1300,-0.3546,9
1500,-0.3546,10
1600,-0.1755,18
1800,-0.1755,8
2000,-0.1755,8
